h_sat_min,h_sat_max,h0,rho0,H
0,25,0,1.23,7.25
25,30,25,0.03899,6.35
30,40,30,0.01774,6.68
40,50,40,0.003972,7.55
50,60,50,0.001057,8.38
60,70,60,0.0003206,7.71
70,80,70,8.77E-05,6.55
80,90,80,1.905E-05,5.8
90,100,90,3.396E-06,5.38
100,110,100,5.297E-07,5.88
110,120,110,9.661E-08,7.26
120,130,120,2.438E-08,9.47
130,140,130,8.484E-09,12.64
140,150,140,3.845E-09,16.15
150,180,150,2.07E-09,22.52
180,200,180,5.464E-10,29.74
200,250,200,2.789E-10,37.11
250,300,250,7.248E-11,45.55
300,350,300,2.418E-11,53.63
350,400,350,9.518E-12,53.3
400,450,400,3.725E-12,58.52
450,500,450,1.585E-12,60.83
500,600,500,6.967E-13,63.82
600,700,600,1.454E-13,71.84
700,800,700,3.614E-14,88.67
800,900,800,1.17E-14,124.64
900,1000,900,5.245E-15,181.05
1000,2000,1000,3.019E-15,268
